logg,Teff,Z,xi,aLSM,bLSM,aPCM,bPCM,chi2,Mod
0.0,3500.0,-5.0,2.0,0.504,0.132,0.5112,0.1227,0.0207,"A "
0.5,3500.0,-5.0,2.0,0.4222,0.2038,0.4344,0.1876,0.0349,"A "
1.0,3500.0,-5.0,2.0,0.2915,0.3124,0.314,0.2827,0.0679,"A "
1.5,3500.0,-5.0,2.0,0.1953,0.3878,0.2279,0.345,0.1015,"A "
2.0,3500.0,-5.0,2.0,0.1586,0.4167,0.1958,0.3678,0.1174,"A "
2.5,3500.0,-5.0,2.0,0.1611,0.4179,0.1978,0.3695,0.1146,"A "
3.0,3500.0,-5.0,2.0,0.1907,0.3999,0.2226,0.358,0.0944,"A "
0.0,3750.0,-5.0,2.0,0.4622,0.1666,0.4747,0.1501,0.0358,"A "
0.5,3750.0,-5.0,2.0,0.4019,0.2203,0.4181,0.1989,0.0452,"A "
1.0,3750.0,-5.0,2.0,0.3306,0.2732,0.3535,0.2432,0.0694,"A "
1.5,3750.0,-5.0,2.0,0.211,0.3581,0.2464,0.3117,0.1188,"A "
2.0,3750.0,-5.0,2.0,0.0898,0.4377,0.1393,0.3732,0.1778,"A "
2.5,3750.0,-5.0,2.0,0.0278,0.4756,0.0865,0.399,0.218,"A "
3.0,3750.0,-5.0,2.0,0.0067,0.5017,0.0695,0.4195,0.227,"A "
0.0,4000.0,-5.0,2.0,0.4293,0.1896,0.4462,0.1674,0.0521,"A "
0.5,4000.0,-5.0,2.0,0.3681,0.2419,0.3905,0.2124,0.0667,"A "
1.0,4000.0,-5.0,2.0,0.3032,0.2959,0.3322,0.2578,0.0864,"A "
1.5,4000.0,-5.0,2.0,0.2416,0.3435,0.2779,0.2958,0.1112,"A "
2.0,4000.0,-5.0,2.0,0.1846,0.3586,0.2256,0.3053,0.1468,"A "
2.5,4000.0,-5.0,2.0,0.0812,0.4099,0.1327,0.3433,0.207,"A "
3.0,4000.0,-5.0,2.0,0.0029,0.4482,0.0651,0.3679,0.2643,"A "
3.5,4000.0,-5.0,2.0,-0.0481,0.4858,0.0242,0.3922,0.3044,"A "
0.0,4250.0,-5.0,2.0,0.4037,0.2047,0.4245,0.1774,0.0655,"A "
0.5,4250.0,-5.0,2.0,0.3523,0.2465,0.3786,0.2119,0.0818,"A "
1.0,4250.0,-5.0,2.0,0.2961,0.2922,0.329,0.249,0.1013,"A "
1.5,4250.0,-5.0,2.0,0.2474,0.3306,0.286,0.2799,0.1205,"A "
2.0,4250.0,-5.0,2.0,0.2145,0.3505,0.2554,0.2969,0.1313,"A "
2.5,4250.0,-5.0,2.0,0.1539,0.3865,0.2042,0.3206,0.1762,"A "
3.0,4250.0,-5.0,2.0,0.1089,0.3824,0.1578,0.3193,0.1963,"A "
3.5,4250.0,-5.0,2.0,0.0394,0.4041,0.0941,0.3341,0.2407,"A "
4.0,4250.0,-5.0,2.0,-0.0065,0.4091,0.0534,0.3329,0.2869,"A "
0.0,4500.0,-5.0,2.0,0.3784,0.2187,0.4011,0.1889,0.0745,"A "
0.5,4500.0,-5.0,2.0,0.3409,0.2468,0.3686,0.2106,0.0896,"A "
1.0,4500.0,-5.0,2.0,0.2982,0.2808,0.3313,0.2375,0.1056,"A "
1.5,4500.0,-5.0,2.0,0.2552,0.3153,0.2933,0.2652,0.1218,"A "
2.0,4500.0,-5.0,2.0,0.2206,0.3424,0.2625,0.2874,0.1346,"A "
2.5,4500.0,-5.0,2.0,0.1894,0.3634,0.2344,0.3042,0.1498,"A "
3.0,4500.0,-5.0,2.0,0.1551,0.3797,0.2044,0.3151,0.1747,"A "
3.5,4500.0,-5.0,2.0,0.0941,0.4037,0.1498,0.3312,0.2191,"A "
4.0,4500.0,-5.0,2.0,0.0326,0.4183,0.0934,0.3398,0.264,"A "
0.0,4750.0,-5.0,2.0,0.3566,0.2285,0.3812,0.1965,0.082,"A "
0.5,4750.0,-5.0,2.0,0.3295,0.2476,0.3575,0.211,0.0932,"A "
1.0,4750.0,-5.0,2.0,0.3025,0.2679,0.3339,0.2268,0.1029,"A "
1.5,4750.0,-5.0,2.0,0.268,0.2963,0.3033,0.2499,0.1142,"A "
2.0,4750.0,-5.0,2.0,0.2338,0.3248,0.2729,0.2734,0.125,"A "
2.5,4750.0,-5.0,2.0,0.2069,0.3456,0.2483,0.2913,0.133,"A "
3.0,4750.0,-5.0,2.0,0.1854,0.3589,0.2292,0.3013,0.146,"A "
3.5,4750.0,-5.0,2.0,0.1689,0.3631,0.2123,0.3064,0.151,"A "
4.0,4750.0,-5.0,2.0,0.1062,0.3961,0.1594,0.3266,0.203,"A "
4.5,4750.0,-5.0,2.0,0.051,0.4097,0.1093,0.3343,0.2458,"A "
0.0,5000.0,-5.0,2.0,0.3366,0.2368,0.3625,0.203,0.0885,"A "
0.5,5000.0,-5.0,2.0,0.3212,0.2459,0.3489,0.2097,0.0936,"A "
1.0,5000.0,-5.0,2.0,0.2991,0.2623,0.3294,0.2227,0.101,"A "
1.5,5000.0,-5.0,2.0,0.2741,0.2824,0.3072,0.2392,0.108,"A "
2.0,5000.0,-5.0,2.0,0.247,0.3059,0.2829,0.2588,0.1146,"A "
2.5,5000.0,-5.0,2.0,0.2229,0.3268,0.2605,0.2773,0.1181,"A "
3.0,5000.0,-5.0,2.0,0.2026,0.3425,0.2421,0.2906,0.1254,"A "
3.5,5000.0,-5.0,2.0,0.1914,0.3489,0.231,0.2969,0.129,"A "
4.0,5000.0,-5.0,2.0,0.1722,0.3557,0.2124,0.3031,0.1373,"A "
4.5,5000.0,-5.0,2.0,0.1276,0.378,0.1741,0.3174,0.1729,"A "
5.0,5000.0,-5.0,2.0,0.0953,0.3795,0.142,0.3191,0.1848,"A "
0.0,5250.0,-5.0,2.0,0.3159,0.2463,0.343,0.2109,0.0946,"A "
0.5,5250.0,-5.0,2.0,0.3091,0.2481,0.3368,0.212,0.095,"A "
1.0,5250.0,-5.0,2.0,0.2947,0.2581,0.324,0.2198,0.0984,"A "
1.5,5250.0,-5.0,2.0,0.2753,0.2739,0.3065,0.2329,0.1021,"A "
2.0,5250.0,-5.0,2.0,0.2547,0.2923,0.2878,0.2488,0.1049,"A "
2.5,5250.0,-5.0,2.0,0.2358,0.309,0.2702,0.2639,0.1068,"A "
3.0,5250.0,-5.0,2.0,0.2187,0.3238,0.2538,0.2776,0.1086,"A "
3.5,5250.0,-5.0,2.0,0.201,0.3366,0.2381,0.2878,0.1169,"A "
4.0,5250.0,-5.0,2.0,0.1939,0.34,0.231,0.2913,0.12,"A "
4.5,5250.0,-5.0,2.0,0.1644,0.3556,0.2053,0.302,0.141,"A "
5.0,5250.0,-5.0,2.0,0.1158,0.3811,0.1645,0.3175,0.1805,"A "
0.0,5500.0,-5.0,2.0,0.2895,0.2627,0.3184,0.2251,0.0999,"A "
0.5,5500.0,-5.0,2.0,0.2884,0.2589,0.3175,0.2211,0.1002,"A "
1.0,5500.0,-5.0,2.0,0.2826,0.2615,0.3121,0.223,0.0993,"A "
1.5,5500.0,-5.0,2.0,0.271,0.2703,0.3015,0.2304,0.0997,"A "
2.0,5500.0,-5.0,2.0,0.2569,0.2831,0.2881,0.2423,0.0983,"A "
2.5,5500.0,-5.0,2.0,0.2414,0.2974,0.2733,0.2555,0.0981,"A "
3.0,5500.0,-5.0,2.0,0.2272,0.3098,0.2595,0.2673,0.0981,"A "
3.5,5500.0,-5.0,2.0,0.2155,0.3197,0.2483,0.2766,0.0996,"A "
4.0,5500.0,-5.0,2.0,0.1998,0.33,0.2349,0.284,0.1089,"A "
4.5,5500.0,-5.0,2.0,0.1792,0.3416,0.2177,0.2911,0.1262,"A "
5.0,5500.0,-5.0,2.0,0.1506,0.3584,0.1931,0.3026,0.1471,"A "
0.0,5750.0,-5.0,2.0,0.4051,0.16,0.419,0.1423,0.0592,"A "
0.5,5750.0,-5.0,2.0,0.2704,0.2726,0.2985,0.236,0.0926,"A "
1.0,5750.0,-5.0,2.0,0.2633,0.2719,0.2939,0.2318,0.1027,"A "
1.5,5750.0,-5.0,2.0,0.2596,0.274,0.2902,0.234,0.0994,"A "
2.0,5750.0,-5.0,2.0,0.2517,0.281,0.2823,0.2408,0.0964,"A "
2.5,5750.0,-5.0,2.0,0.2418,0.2901,0.2721,0.2502,0.0931,"A "
3.0,5750.0,-5.0,2.0,0.2324,0.2986,0.2626,0.2589,0.0906,"A "
3.5,5750.0,-5.0,2.0,0.2215,0.3078,0.2518,0.2679,0.0902,"A "
